,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
1681,Kepler-119 b,2336,12.6 Earths,14.2,2014,Neptune-like,12.6 Earths,0.321 x Jupiter,0.035 AU,2.4 days,0,Kepler-1192,Transit,,67.15,-57.17,0.05,0,0.83,0.08,-0.07,10-05-2016,Kepler
1682,Kepler-119 c,2336,0.721 Earths,14.2,2014,Terrestrial,0.721 Earths,0.92 x Earth,0.049 AU,4.1 days,0,Kepler-1193,Transit,,75.02,-61.06,0.06,0,1.21,0.19,-0.15,10-05-2016,Kepler
1683,Kepler-11 b,2148,1.9 Earths,14.2,2010,Terrestrial,1.9 Earths,1.8 x Earth,0.091 AU,10.3 days,0.05,Kepler-1194,Transit,,97.14,-79.79,0.04,0,0.92,0.06,-0.05,10-05-2016,Kepler
1684,Kepler-11 c,2148,2.9 Earths,14.2,2010,Neptune-like,2.9 Earths,0.256 x Jupiter,0.107 AU,13 days,0.03,Kepler-1195,Transit,,111.27,-80.25,0.05,0,0.71,0.05,-0.06,10-05-2016,Kepler
1685,Kepler-11 d,2148,7.3 Earths,14.2,2010,Neptune-like,7.3 Earths,0.278 x Jupiter,0.155 AU,22.7 days,0,Kepler-1196,Transit,,129.38,-149.1,0.06,0,0.97,0.15,-0.09,10-05-2016,Kepler
1686,Kepler-11 e,2148,8 Earths,14.2,2010,Neptune-like,8 Earths,0.374 x Jupiter,0.195 AU,32 days,0.01,Kepler-1197,Transit,,63.31,-50.89,0.02,0,0.72,0.01,-0.01,10-05-2016,Kepler
1687,Kepler-11 f,2148,2 Earths,14.2,2010,Neptune-like,2 Earths,0.222 x Jupiter,0.25 AU,46.7 days,0.01,Kepler-1198,Transit,,80.26,-98.45,0.04,0,0.9,0.1,-0.06,10-05-2016,Kepler
1688,Kepler-11 g,2148,25 Earths,14.2,2010,Neptune-like,25 Earths,0.297 x Jupiter,0.466 AU,118.4 days,< 0.15,Kepler-1199,Transit,,84.29,-64.89,0.1,0,1.17,0.21,-0.16,10-05-2016,Kepler
1689,Kepler-1200 b,1889,1.2 Earths,15.789,2016,Super Earth,1.2 Earths,1.06 x Earth,Unknown,1.1 days,0,Kepler-12,Transit,-0.02,100,-100,0.05,0,1.48,0.03,-0.03,15-10-2015,Kepler
1690,Kepler-1201 b,3921,5.86 Earths,14.7,2016,Neptune-like,5.86 Earths,0.204 x Jupiter,Unknown,15.2 days,0,Kepler-120,Transit,,150,-150,,,0.53,0.03,-0.03,14-05-2014,Kepler
1691,Kepler-1202 b,4544,8.96 Earths,15.608,2016,Neptune-like,8.96 Earths,0.262 x Jupiter,Unknown,28.7 days,0,Kepler-120,Transit,,150,-150,,,0.53,0.03,-0.03,14-05-2014,Kepler
1692,Kepler-1203 b,877,1.2 Earths,14.915,2016,Super Earth,1.2 Earths,1.06 x Earth,Unknown,0.6 days,0,Kepler-1200,Transit,,101.02,-139.97,0.04,0,0.7,0.03,-0.04,10-05-2016,Kepler
1693,Kepler-1204 b,4182,9.53 Earths,15.295,2016,Neptune-like,9.53 Earths,0.272 x Jupiter,Unknown,85.7 days,0,Kepler-1201,Transit,,146.3,-232.29,0.17,0,1.24,0.46,-0.19,10-05-2016,Kepler
1694,Kepler-1205 b,2499,2.57 Earths,15.13,2016,Super Earth,2.57 Earths,1.41 x Earth,Unknown,1.1 days,0,Kepler-1202,Transit,,80.98,-131.48,0.06,0,1.04,0.22,-0.1,10-05-2016,Kepler
1695,Kepler-1206 b,2632,3.33 Earths,15.929,2016,Super Earth,3.33 Earths,1.64 x Earth,Unknown,1.2 days,0,Kepler-1203,Transit,,43.7,-35.84,0.02,0,0.61,0.01,-0.02,10-05-2016,Kepler
1696,Kepler-1207 b,3086,3.26 Earths,14.449,2016,Super Earth,3.26 Earths,1.62 x Earth,Unknown,13.7 days,0,Kepler-1204,Transit,,88.38,-121.08,0.06,0,1.03,0.29,-0.1,10-05-2016,Kepler
1697,Kepler-1208 b,2861,5.99 Earths,15.946,2016,Neptune-like,5.99 Earths,0.207 x Jupiter,Unknown,11.1 days,0,Kepler-1205,Transit,,84.83,-71.27,0.04,0,0.81,0.05,-0.05,10-05-2016,Kepler
1698,Kepler-1209 b,1820,2.89 Earths,12.411,2016,Super Earth,2.89 Earths,1.51 x Earth,Unknown,25.4 days,0,Kepler-1206,Transit,,55.23,-79.61,0.03,0,0.75,0.03,-0.03,10-05-2016,Kepler
1699,Kepler-120 b,1282,8.5 Earths,14.719,2014,Super Earth,8.5 Earths,2.15 x Earth,0.055 AU,6.3 days,0,Kepler-1207,Transit,,88.29,-99.94,0.06,0,1.06,0.23,-0.1,10-05-2016,Kepler
1700,Kepler-120 c,1282,2.96 Earths,14.719,2014,Super Earth,2.96 Earths,1.53 x Earth,0.088 AU,12.8 days,0,Kepler-1208,Transit,,110.88,-108.59,0.04,0,0.76,0.04,-0.04,10-05-2016,Kepler
1701,Kepler-1210 b,3768,3.53 Earths,15.566,2016,Super Earth,3.53 Earths,1.7 x Earth,Unknown,8.1 days,0,Kepler-1209,Transit,,71.25,-59.14,0.09,0,1.38,0.29,-0.16,10-05-2016,Kepler
1702,Kepler-1211 b,4847,7.04 Earths,15.828,2016,Neptune-like,7.04 Earths,0.227 x Jupiter,Unknown,11 days,0,Kepler-121,Transit,,200,-200,,,0.7,0.38,-0.38,14-05-2014,Kepler
1703,Kepler-1212 b,4254,5.22 Earths,15.024,2016,Neptune-like,5.22 Earths,2.14 x Earth,Unknown,12.9 days,0,Kepler-121,Transit,,200,-200,,,0.7,0.38,-0.38,14-05-2014,Kepler
1704,Kepler-1213 b,2234,1.81 Earths,13.342,2016,Super Earth,1.81 Earths,1.19 x Earth,Unknown,5.3 days,0,Kepler-1210,Transit,,67.19,-91.62,0.04,0,0.92,0.16,-0.07,10-05-2016,Kepler
1705,Kepler-1214 b,2469,6.17 Earths,15.223,2016,Neptune-like,6.17 Earths,0.211 x Jupiter,Unknown,18.8 days,0,Kepler-1211,Transit,,123.21,-77.68,0.06,0,0.94,0.13,-0.08,10-05-2016,Kepler
1706,Kepler-1215 b,2287,1.98 Earths,14.425,2016,Super Earth,1.98 Earths,1.22 x Earth,Unknown,4.8 days,0,Kepler-1212,Transit,,144.84,-180.6,0.11,0,1.15,0.31,-0.14,10-05-2016,Kepler
1707,Kepler-1216 b,3666,2.51 Earths,15.107,2016,Super Earth,2.51 Earths,1.39 x Earth,Unknown,4.4 days,0,Kepler-1213,Transit,,74.56,-81.73,0.04,0,1.21,0.13,-0.09,10-05-2016,Kepler
1708,Kepler-1217 b,4446,4.62 Earths,15.242,2016,Super Earth,4.62 Earths,1.99 x Earth,Unknown,2 days,0,Kepler-1214,Transit,,48.18,-47.96,0.03,0,0.8,0.04,-0.03,10-05-2016,Kepler
1709,Kepler-1218 b,2176,2.67 Earths,13.551,2016,Super Earth,2.67 Earths,1.44 x Earth,Unknown,22.9 days,0,Kepler-1215,Transit,,92.62,-130.14,0.04,0,0.93,0.13,-0.07,10-05-2016,Kepler
1710,Kepler-1219 b,2029,5.14 Earths,12.232,2016,Neptune-like,5.14 Earths,2.12 x Earth,Unknown,16.1 days,0,Kepler-1216,Transit,,73.65,-77.97,0.04,0,0.98,0.15,-0.07,10-05-2016,Kepler
1711,Kepler-121 b,1690,6.08 Earths,14.677,2014,Neptune-like,6.08 Earths,0.209 x Jupiter,0.039 AU,3.2 days,0,Kepler-1217,Transit,,82.88,-103.67,0.07,0,1.08,0.26,-0.1,10-05-2016,Kepler
1712,Kepler-121 c,1690,5.77 Earths,14.677,2014,Neptune-like,5.77 Earths,0.203 x Jupiter,0.216 AU,41 days,0,Kepler-1218,Transit,,91.33,-76.59,0.05,0,1.1,0.11,-0.09,10-05-2016,Kepler
1713,Kepler-1220 b,3125,2.92 Earths,14.965,2016,Super Earth,2.92 Earths,1.52 x Earth,Unknown,7.4 days,0,Kepler-1219,Transit,,91.26,-81.66,0.14,0,1.94,0.5,-0.4,10-05-2016,Kepler
1714,Kepler-1221 b,2965,4.19 Earths,15.58,2016,Super Earth,4.19 Earths,1.88 x Earth,Unknown,12 days,0,Kepler-122,Transit,,137,-137,,,1.22,0.24,-0.24,14-05-2014,Kepler
1715,Kepler-1222 b,1484,0.418 Earths,14.091,2016,Terrestrial,0.418 Earths,0.79 x Earth,Unknown,1.9 days,0,Kepler-122,Transit,,137,-137,,,1.22,0.24,-0.24,14-05-2014,Kepler
1716,Kepler-1223 b,1484,1.98 Earths,14.612,2016,Super Earth,1.98 Earths,1.22 x Earth,Unknown,16.3 days,0,Kepler-122,Transit,,137,-137,,,1.22,0.24,-0.24,14-05-2014,Kepler
1717,Kepler-1224 b,1885,2.33 Earths,12.825,2016,Super Earth,2.33 Earths,1.33 x Earth,Unknown,13.3 days,0,Kepler-122,Transit,,137,-137,,,1.22,0.24,-0.24,14-05-2014,Kepler
1718,Kepler-1225 b,4048,3.97 Earths,14.632,2016,Super Earth,3.97 Earths,1.82 x Earth,Unknown,7 days,0,Kepler-122,Transit Timing Variations,,137,-137,,,1.22,0.24,-0.24,28-05-2014,Kepler
1719,Kepler-1226 b,2541,2.7 Earths,14.15,2016,Super Earth,2.7 Earths,1.45 x Earth,Unknown,17.3 days,0,Kepler-1220,Transit,,246.43,-266.34,0.12,0,0.99,0.21,-0.12,10-05-2016,Kepler
1720,Kepler-1227 b,2176,5.86 Earths,14.176,2016,Neptune-like,5.86 Earths,0.204 x Jupiter,Unknown,94.3 days,0,Kepler-1221,Transit,,45.8,-51.51,0.04,0,0.82,0.05,-0.03,10-05-2016,Kepler
1721,Kepler-1228 b,1784,2.99 Earths,14.861,2016,Super Earth,2.99 Earths,1.54 x Earth,Unknown,0.6 days,0,Kepler-1222,Transit,,71,-82.33,0.04,0,0.8,0.05,-0.05,10-05-2016,Kepler
1722,Kepler-1229 b,770,2.54 Earths,15.51,2016,Super Earth,2.54 Earths,1.4 x Earth,0.3006 AU,86.8 days,0,Kepler-1223,Transit,,49.87,-52.19,0.03,0,0.75,0.03,-0.03,10-05-2016,Kepler
1723,Kepler-122 b,3453,6.08 Earths,14.222,2014,Neptune-like,6.08 Earths,0.209 x Jupiter,0.064 AU,5.8 days,0,Kepler-1224,Transit,,64.75,-56.71,0.04,0,1.22,0.1,-0.07,10-05-2016,Kepler
1724,Kepler-122 c,3453,29 Earths,14.222,2014,Neptune-like,29 Earths,0.524 x Jupiter,0.108 AU,12.5 days,0,Kepler-1225,Transit,,133.4,-147.7,0.14,0,1.19,0.4,-0.15,10-05-2016,Kepler
1725,Kepler-122 d,3453,5.48 Earths,14.222,2014,Neptune-like,5.48 Earths,2.2 x Earth,0.155 AU,21.6 days,0,Kepler-1226,Transit,,147.56,-124.19,0.08,0,1.02,0.18,-0.1,10-05-2016,Kepler
1726,Kepler-122 e,3453,27.7 Earths,14.222,2014,Neptune-like,27.7 Earths,0.232 x Jupiter,0.227 AU,38 days,0,Kepler-1227,Transit,,108.41,-151.11,0.06,0,0.95,0.15,-0.08,10-05-2016,Kepler
1727,Kepler-122 f,3453,36 Earths,14.222,2014,Super Earth,36 Earths,1.75 x Earth,Unknown,56.3 days,0,Kepler-1228,Transit,,94.76,-81.19,0.05,0,0.74,0.05,-0.07,10-05-2016,Kepler
1728,Kepler-1230 b,4674,7.8 Earths,15.274,2016,Neptune-like,7.8 Earths,0.242 x Jupiter,Unknown,10 days,0,Kepler-1229,Transit,,38.88,-38.61,0.03,0,0.51,0.03,-0.03,10-05-2016,Kepler
1729,Kepler-1231 b,3092,2.6 Earths,14.714,2016,Super Earth,2.6 Earths,1.42 x Earth,Unknown,10.4 days,0,Kepler-123,Transit,,121,-121,,,1.26,0.24,-0.24,14-05-2014,Kepler
1730,Kepler-1232 b,2414,4.38 Earths,14.762,2016,Super Earth,4.38 Earths,1.93 x Earth,Unknown,26.8 days,0,Kepler-123,Transit,,121,-121,,,1.26,0.24,-0.24,14-05-2014,Kepler
1731,Kepler-1233 b,4179,7.27 Earths,14.659,2016,Neptune-like,7.27 Earths,0.232 x Jupiter,Unknown,45.1 days,0,Kepler-1230,Transit,,134.01,-116.25,0.08,0,1.08,0.19,-0.1,10-05-2016,Kepler
1732,Kepler-1234 b,2825,8.3 Earths,15.878,2016,Neptune-like,8.3 Earths,0.251 x Jupiter,Unknown,11.9 days,0,Kepler-1231,Transit,,80.33,-107.4,0.06,0,1,0.2,-0.08,10-05-2016,Kepler
1733,Kepler-1235 b,1739,0.418 Earths,13.877,2016,Terrestrial,0.418 Earths,0.79 x Earth,Unknown,4.2 days,0,Kepler-1232,Transit,,75.31,-111.9,0.04,0,0.89,0.11,-0.05,10-05-2016,Kepler
1734,Kepler-1236 b,3516,5.22 Earths,15.925,2016,Neptune-like,5.22 Earths,2.14 x Earth,Unknown,31.1 days,0,Kepler-1233,Transit,,139.13,-168.47,0.18,0,1.25,0.52,-0.18,10-05-2016,Kepler
1735,Kepler-1237 b,3657,8.55 Earths,15.755,2016,Neptune-like,8.55 Earths,0.255 x Jupiter,Unknown,84.6 days,0,Kepler-1234,Transit,,56.4,-63.05,0.03,0,0.76,0.03,-0.03,10-05-2016,Kepler
1736,Kepler-1238 b,5001,4.38 Earths,14.733,2016,Super Earth,4.38 Earths,1.93 x Earth,Unknown,4.1 days,0,Kepler-1235,Transit,,78.94,-83.29,0.04,0,0.9,0.12,-0.06,10-05-2016,Kepler
1737,Kepler-1239 b,8191,8.75 Earths,15.395,2016,Neptune-like,8.75 Earths,0.259 x Jupiter,Unknown,5.2 days,0,Kepler-1236,Transit,,155.96,-154.2,0.05,0,0.82,0.07,-0.05,10-05-2016,Kepler
1738,Kepler-123 b,3432,0.174 Jupiters,14.021,2014,Gas Giant,0.174 Jupiters,0.262 x Jupiter,0.135 AU,17.2 days,0,Kepler-1237,Transit,,73.56,-109.1,0.04,0,0.9,0.12,-0.06,10-05-2016,Kepler
1739,Kepler-123 c,3432,2.79 Earths,14.021,2014,Super Earth,2.79 Earths,1.48 x Earth,0.181 AU,26.7 days,0,Kepler-1238,Transit,,341.26,-299.46,0.24,0,1.48,0.65,-0.32,10-05-2016,Kepler
1740,Kepler-1240 b,2003,1.6 Earths,13.961,2016,Super Earth,1.6 Earths,1.15 x Earth,Unknown,4.9 days,0,Kepler-1239,Transit,,153.47,-198.42,0.08,0,1.57,0.2,-0.16,10-05-2016,Kepler
1741,Kepler-1241 b,3053,7.41 Earths,15.669,2016,Neptune-like,7.41 Earths,0.235 x Jupiter,Unknown,18.6 days,0,Kepler-124,Transit,,100,-100,,,0.64,0.03,-0.03,14-05-2014,Kepler
1742,Kepler-1242 b,2225,5.73 Earths,15.498,2016,Neptune-like,5.73 Earths,0.202 x Jupiter,Unknown,13.6 days,0,Kepler-124,Transit,,100,-100,,,0.64,0.03,-0.03,14-05-2014,Kepler
1743,Kepler-1243 b,2861,3.71 Earths,14.833,2016,Super Earth,3.71 Earths,1.75 x Earth,Unknown,16.8 days,0,Kepler-124,Transit,,100,-100,,,0.64,0.03,-0.03,14-05-2014,Kepler
1744,Kepler-1244 b,2492,2.39 Earths,12.323,2016,Super Earth,2.39 Earths,1.35 x Earth,Unknown,3.7 days,0,Kepler-1240,Transit,,103.27,-116.7,0.05,0,0.96,0.16,-0.08,10-05-2016,Kepler
1745,Kepler-1245 b,2809,2.67 Earths,15.372,2016,Super Earth,2.67 Earths,1.44 x Earth,Unknown,4.4 days,0,Kepler-1241,Transit,,180.72,-119.79,0.05,0,0.8,0.06,-0.05,10-05-2016,Kepler
1746,Kepler-1245 c,2809,2.67 Earths,15.372,2016,Super Earth,2.67 Earths,1.44 x Earth,Unknown,2.9 days,0,Kepler-1242,Transit,,84.63,-57.56,0.04,0,0.74,0.03,-0.04,10-05-2016,Kepler
1747,Kepler-1246 b,1419,2.42 Earths,15.032,2016,Super Earth,2.42 Earths,1.36 x Earth,Unknown,11.3 days,0,Kepler-1243,Transit,,113.87,-139.83,0.05,0,0.94,0.15,-0.07,10-05-2016,Kepler
1748,Kepler-1247 b,3569,6.04 Earths,15.901,2016,Neptune-like,6.04 Earths,0.208 x Jupiter,Unknown,13.7 days,0,Kepler-1244,Transit,,94.5,-106.27,0.26,0,1.77,0.83,-0.33,10-05-2016,Kepler
1749,Kepler-1248 b,1761,1.76 Earths,12.925,2016,Super Earth,1.76 Earths,1.18 x Earth,Unknown,7.5 days,0,Kepler-1245,Transit,,77.49,-101.98,0.04,0,0.83,0.06,-0.05,10-05-2016,Kepler
1750,Kepler-1249 b,5461,6.26 Earths,15.352,2016,Neptune-like,6.26 Earths,0.212 x Jupiter,Unknown,24.3 days,0,Kepler-1245,Transit,,77.49,-101.98,0.04,0,0.83,0.06,-0.05,10-05-2016,Kepler
1751,Kepler-124 b,1387,0.315 Earths,14.124,2014,Terrestrial,0.315 Earths,0.73 x Earth,0.039 AU,3.4 days,0,Kepler-1246,Transit,,49.69,-51.31,0.03,0,0.69,0.02,-0.04,10-05-2016,Kepler
1752,Kepler-124 c,1387,3.71 Earths,14.124,2014,Super Earth,3.71 Earths,1.75 x Earth,0.1 AU,13.8 days,0,Kepler-1247,Transit,,116.55,-112.59,0.04,0,0.82,0.06,-0.05,10-05-2016,Kepler
1753,Kepler-124 d,1387,1.41 Earths,14.124,2014,Super Earth,1.41 Earths,1.11 x Earth,0.17 AU,31 days,0,Kepler-1248,Transit,,83.25,-74.3,0.04,0,1.21,0.06,-0.05,10-05-2016,Kepler
1754,Kepler-1250 b,4472,4.35 Earths,15.569,2016,Super Earth,4.35 Earths,1.92 x Earth,Unknown,2.6 days,0,Kepler-1249,Transit,,133.62,-201.72,0.17,0,1.28,0.52,-0.2,10-05-2016,Kepler
1755,Kepler-1251 b,2815,4.04 Earths,14.939,2016,Super Earth,4.04 Earths,1.84 x Earth,Unknown,45.1 days,0,Kepler-125,Transit,,150,-150,,,0.51,0.02,-0.02,14-05-2014,Kepler
1756,Kepler-1252 b,2701,3.43 Earths,14.495,2016,Super Earth,3.43 Earths,1.67 x Earth,Unknown,15.1 days,0,Kepler-125,Transit,,150,-150,,,0.51,0.02,-0.02,14-05-2014,Kepler
1757,Kepler-1253 b,1272,2.33 Earths,12.457,2016,Super Earth,2.33 Earths,1.33 x Earth,Unknown,68.9 days,0,Kepler-1250,Transit,,71.36,-82.51,0.05,0,0.98,0.22,-0.08,10-05-2016,Kepler
1758,Kepler-1254 b,2205,3.02 Earths,15.302,2016,Super Earth,3.02 Earths,1.55 x Earth,Unknown,10 days,0,Kepler-1251,Transit,,85.54,-95.15,0.05,0,0.89,0.12,-0.06,10-05-2016,Kepler
1759,Kepler-1254 c,2205,2.24 Earths,15.302,2016,Super Earth,2.24 Earths,1.3 x Earth,Unknown,3.6 days,0,Kepler-1252,Transit,,144.6,-218.38,0.09,0,1.09,0.27,-0.14,10-05-2016,Kepler
1760,Kepler-1254 d,2205,2.27 Earths,15.302,2016,Super Earth,2.27 Earths,1.31 x Earth,Unknown,5.7 days,0,Kepler-1253,Transit,,65.89,-56.44,0.06,0,1.1,0.15,-0.13,10-05-2016,Kepler
1761,Kepler-1255 b,4384,5.99 Earths,15.199,2016,Neptune-like,5.99 Earths,0.207 x Jupiter,Unknown,36.3 days,0,Kepler-1254,Transit,,53,-45.04,0.04,0,0.75,0.03,-0.05,10-05-2016,Kepler
1762,Kepler-1256 b,2812,2.83 Earths,13.513,2016,Super Earth,2.83 Earths,1.49 x Earth,Unknown,12.4 days,0,Kepler-1254,Transit,,53,-45.04,0.04,0,0.75,0.03,-0.05,10-05-2016,Kepler
1763,Kepler-1257 b,3526,2.92 Earths,15.512,2016,Super Earth,2.92 Earths,1.52 x Earth,Unknown,2.7 days,0,Kepler-1254,Transit,,53,-45.04,0.04,0,0.75,0.03,-0.05,10-05-2016,Kepler
1764,Kepler-1258 b,2124,0.566 Earths,13.785,2016,Terrestrial,0.566 Earths,0.86 x Earth,Unknown,1 days,0,Kepler-1255,Transit,,134.73,-186.81,0.1,0,1.12,0.31,-0.14,10-05-2016,Kepler
1765,Kepler-1259 b,2296,2.63 Earths,15.333,2016,Super Earth,2.63 Earths,1.43 x Earth,Unknown,0.7 days,0,Kepler-1256,Transit,,67.94,-69.29,0.09,0,1.36,0.27,-0.19,10-05-2016,Kepler
1766,Kepler-125 b,601,6.21 Earths,14.768,2014,Neptune-like,6.21 Earths,0.211 x Jupiter,0.041 AU,4.2 days,0,Kepler-1257,Transit,,168.32,-93.92,0.06,0,0.87,0.1,-0.07,10-05-2016,Kepler
1767,Kepler-125 c,601,0.33 Earths,14.768,2014,Terrestrial,0.33 Earths,0.74 x Earth,0.051 AU,5.8 days,0,Kepler-1258,Transit,,79.16,-73.45,0.05,0,0.99,0.15,-0.08,10-05-2016,Kepler
1768,Kepler-1260 b,3396,3.78 Earths,14.823,2016,Super Earth,3.78 Earths,1.77 x Earth,Unknown,19.1 days,0,Kepler-1259,Transit,,113.64,-67.62,0.04,0,0.77,0.04,-0.04,10-05-2016,Kepler
1769,Kepler-1261 b,2593,5.73 Earths,15.582,2016,Neptune-like,5.73 Earths,0.202 x Jupiter,Unknown,48.4 days,0,Kepler-126,Transit,,94,-94,,,1.36,0.02,-0.02,14-05-2014,Kepler
1770,Kepler-1262 b,3761,3.97 Earths,15.184,2016,Super Earth,3.97 Earths,1.82 x Earth,Unknown,8.7 days,0,Kepler-126,Transit,,94,-94,,,1.36,0.02,-0.02,14-05-2014,Kepler
1771,Kepler-1263 b,2267,1.55 Earths,15.001,2016,Super Earth,1.55 Earths,1.14 x Earth,Unknown,4.6 days,0,Kepler-126,Transit,,94,-94,,,1.36,0.02,-0.02,14-05-2014,Kepler
1772,Kepler-1264 b,2655,1.76 Earths,14.479,2016,Super Earth,1.76 Earths,1.18 x Earth,Unknown,1 days,0,Kepler-1260,Transit,,131.56,-192.48,0.09,0,1.08,0.3,-0.14,10-05-2016,Kepler
1773,Kepler-1265 b,1895,2.39 Earths,15.566,2016,Super Earth,2.39 Earths,1.35 x Earth,Unknown,6.5 days,0,Kepler-1261,Transit,,48.34,-44.49,0.03,0,0.77,0.03,-0.03,10-05-2016,Kepler
1774,Kepler-1266 b,2939,7.18 Earths,15.836,2016,Neptune-like,7.18 Earths,0.23 x Jupiter,Unknown,28.5 days,0,Kepler-1262,Transit,,101.71,-103.42,0.06,0,0.98,0.17,-0.09,10-05-2016,Kepler
1775,Kepler-1267 b,5311,9.32 Earths,15.814,2016,Neptune-like,9.32 Earths,0.269 x Jupiter,Unknown,13 days,0,Kepler-1263,Transit,,61.9,-74.37,0.04,0,0.8,0.05,-0.05,10-05-2016,Kepler
1776,Kepler-1268 b,4586,4.78 Earths,15.222,2016,Super Earth,4.78 Earths,2.03 x Earth,Unknown,41 days,0,Kepler-1264,Transit,,109.18,-145.15,0.06,0,0.98,0.18,-0.09,10-05-2016,Kepler
1777,Kepler-1269 b,2316,3.29 Earths,13.57,2016,Super Earth,3.29 Earths,1.63 x Earth,Unknown,37.3 days,0,Kepler-1265,Transit,,42.63,-41.2,0.04,0,0.69,0.03,-0.05,10-05-2016,Kepler
1778,Kepler-126 b,780,2.92 Earths,10.454,2014,Super Earth,2.92 Earths,1.52 x Earth,0.099 AU,10.5 days,0.07,Kepler-1266,Transit,,49.22,-50.99,0.04,0,0.76,0.04,-0.05,10-05-2016,Kepler
1779,Kepler-126 c,780,3.12 Earths,10.454,2014,Super Earth,3.12 Earths,1.58 x Earth,0.162 AU,21.9 days,0.19,Kepler-1267,Transit,,119.67,-215.9,0.11,0,1.2,0.37,-0.17,10-05-2016,Kepler
1780,Kepler-126 d,780,6.8 Earths,10.454,2014,Neptune-like,6.8 Earths,0.223 x Jupiter,0.448 AU,100.3 days,0.02,Kepler-1268,Transit,,68.91,-79.21,0.08,0,1.09,0.36,-0.12,10-05-2016,Kepler
1781,Kepler-1270 b,3927,11 Earths,13.285,2016,Neptune-like,11 Earths,0.296 x Jupiter,Unknown,6 days,0,Kepler-1269,Transit,,88.2,-88.22,0.09,0,1.15,0.32,-0.12,10-05-2016,Kepler
1782,Kepler-1271 b,2887,2.79 Earths,13.868,2016,Super Earth,2.79 Earths,1.48 x Earth,Unknown,3 days,0,Kepler-127,Transit,,106,-106,,,1.36,0.04,-0.04,14-05-2014,Kepler
1783,Kepler-1272 b,2923,6.21 Earths,14.384,2016,Neptune-like,6.21 Earths,0.211 x Jupiter,Unknown,51.1 days,0,Kepler-127,Transit,,106,-106,,,1.36,0.04,-0.04,14-05-2014,Kepler
1784,Kepler-1273 b,4420,6.76 Earths,15.796,2016,Neptune-like,6.76 Earths,0.222 x Jupiter,Unknown,28.6 days,0,Kepler-127,Transit,,106,-106,,,1.36,0.04,-0.04,14-05-2014,Kepler
1785,Kepler-1274 b,1987,2.6 Earths,11.682,2016,Super Earth,2.6 Earths,1.42 x Earth,Unknown,7 days,0,Kepler-1270,Transit,,40.17,-34.17,0.01,0,3.38,0.3,-0.41,10-05-2016,Kepler
1786,Kepler-1275 b,4175,2.79 Earths,14.406,2016,Super Earth,2.79 Earths,1.48 x Earth,Unknown,3.7 days,0,Kepler-1271,Transit,,81.37,-88.49,0.06,0,1.23,0.18,-0.13,10-05-2016,Kepler
1787,Kepler-1276 b,1915,1.81 Earths,12.848,2016,Super Earth,1.81 Earths,1.19 x Earth,Unknown,12.6 days,0,Kepler-1272,Transit,,95.26,-135.18,0.08,0,1.09,0.27,-0.11,10-05-2016,Kepler
1788,Kepler-1277 b,1977,3.19 Earths,14.093,2016,Super Earth,3.19 Earths,1.6 x Earth,Unknown,40.8 days,0,Kepler-1273,Transit,,77.45,-71.25,0.04,0,0.91,0.12,-0.06,10-05-2016,Kepler
1789,Kepler-1278 b,2424,1.01 Earths,13.632,2016,Super Earth,1.01 Earths,1.01 x Earth,Unknown,3.2 days,0,Kepler-1274,Transit,,54.41,-48.15,0.06,0,2.17,0.13,-0.12,10-05-2016,Kepler
1790,Kepler-1279 b,3317,3.71 Earths,13.932,2016,Super Earth,3.71 Earths,1.75 x Earth,Unknown,23.5 days,0,Kepler-1275,Transit,,202.94,-214.87,0.21,0,1.36,0.6,-0.23,10-05-2016,Kepler
1791,Kepler-127 b,1163,2.54 Earths,11.438,2014,Super Earth,2.54 Earths,1.4 x Earth,0.125 AU,14.4 days,0.47,Kepler-1276,Transit,,65.25,-55.24,0.05,0,1.21,0.14,-0.1,10-05-2016,Kepler
1792,Kepler-127 c,1163,7.56 Earths,11.438,2014,Neptune-like,7.56 Earths,0.237 x Jupiter,0.2 AU,29.4 days,0.03,Kepler-1277,Transit,,82.21,-68.73,0.04,0,0.92,0.06,-0.05,10-05-2016,Kepler
1793,Kepler-127 d,1163,7.46 Earths,11.438,2014,Neptune-like,7.46 Earths,0.236 x Jupiter,0.28 AU,48.6 days,0.03,Kepler-1278,Transit,,112.24,-128.32,0.11,0,1.16,0.35,-0.13,10-05-2016,Kepler
1794,Kepler-1280 b,3282,4.16 Earths,14,2016,Super Earth,4.16 Earths,1.87 x Earth,Unknown,66.6 days,0,Kepler-1279,Transit,,97.8,-110.44,0.19,0,1.33,0.62,-0.19,10-05-2016,Kepler
1795,Kepler-1281 b,3556,3.33 Earths,15.997,2016,Super Earth,3.33 Earths,1.64 x Earth,Unknown,3.1 days,0,Kepler-128,Transit,-0.51,,,0.08,0,1.61,0.1,-0.07,15-09-2016,Kepler
1796,Kepler-1282 b,3673,3.02 Earths,15.492,2016,Super Earth,3.02 Earths,1.55 x Earth,Unknown,2.1 days,0,Kepler-128,Transit,-0.72,,,0.08,0,1.61,0.1,-0.07,15-09-2016,Kepler
